License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
October 25 2019,S119747,Kona,Cat,Siamese,Mix,98133
October 25 2019,S119748,Kauai,Cat,Domestic Shorthair,Mix,98133
October 25 2019,S153293,Dusty,Cat,Domestic Shorthair,Mix,98115
October 25 2019,S153294,Mudflap,Cat,Domestic Longhair,Mix,98115
October 25 2019,S104950,Wednesday,Cat,Domestic Shorthair,Mix,98117
October 25 2019,825258,Ludo,Cat,Domestic Shorthair,,98115
October 25 2019,S133298,Genghis,Cat,Pixie-Bob,,98117
October 25 2019,578427,Potsy,Cat,Domestic Medium Hair,,98115
October 25 2019,S100691,Pyewacket,Cat,Russian Blue,Mix,98115
October 25 2019,S103744,Osha,Cat,Domestic Shorthair,Mix,98117
October 25 2019,S136268,Oscar2,Cat,Domestic Shorthair,Mix,98117
October 25 2019,S100524,Lucy,Cat,Domestic Medium Hair,Mix,98103
October 25 2019,S103885,Pumpkin,Cat,Manx,Domestic Shorthair,98126
October 25 2019,825469,Oliver,Cat,Domestic Medium Hair,,98125
October 25 2019,832012,Sofy,Cat,Domestic Medium Hair,,98125
October 25 2019,S137191,Pete,Cat,Domestic Shorthair,Mix,98117
October 25 2019,S103817,Wendy,Cat,American Shorthair,,98122
October 25 2019,S150882,DaMu,Cat,Domestic Shorthair,Mix,98101
October 25 2019,8012756,Soup,Cat,European Shorthair,Mix,98704
October 26 2019,823564,Cosmo,Cat,Domestic Medium Hair,,98199
October 26 2019,S133300,Frank,Cat,Domestic Medium Hair,Mix,98102
October 26 2019,S121073,Oly,Cat,Domestic Shorthair,Mix,98117
October 26 2019,S150884,Hielo,Cat,Domestic Medium Hair,Mix,98126
October 26 2019,S153914,Jack - O - Lantern,Cat,Domestic Medium Hair,Mix,98119
October 26 2019,S153915,Boo,Cat,Domestic Medium Hair,Mix,98119
October 26 2019,S153916,Gnocci,Cat,Domestic Shorthair,Mix,98122
October 26 2019,S150885,Grayling,Cat,Domestic Shorthair,Mix,98126
October 26 2019,S150886,Twinkle Toes,Cat,Domestic Shorthair,Mix,98107
October 26 2019,S150887,Hocus Pocus,Cat,Domestic Longhair,Mix,98108
October 26 2019,833109,Katya,Cat,Bombay,,98125
October 26 2019,S150890,Leo,Cat,Domestic Medium Hair,Mix,98199
October 26 2019,832020,Bella,Cat,Domestic Shorthair,,98103
October 26 2019,S134240,Tux,Cat,Domestic Shorthair,Mix,98116
October 26 2019,8012771,Astro McFuzz,Cat,Siberian,,98112
October 26 2019,8012772,Luna Lillet,Cat,Siberian,,98112
October 27 2019,832878,Roman,Cat,Domestic Shorthair,,98117
October 27 2019,S134395,Pepper,Cat,Domestic Shorthair,Mix,98115
October 27 2019,8012789,Miss Cleo,Cat,American Shorthair,Mix,98101
October 27 2019,8012790,Jeremy,Cat,Ragdoll,,98115
October 27 2019,8012791,Xander,Cat,American Shorthair,Mix,98115
October 27 2019,S135651,Alder,Cat,Domestic Medium Hair,,98117
October 27 2019,S151766,Rooibos,Cat,Domestic Shorthair,Mix,98119
October 27 2019,S151767,Earl,Cat,Domestic Medium Hair,Mix,98119
October 27 2019,S151769,Percy,Cat,Domestic Longhair,Mix,98102
October 27 2019,8012796,Hazel,Cat,Domestic Medium Hair,Mix,98118
October 27 2019,8012797,Max,Cat,Domestic Medium Hair,Mix,98118
October 27 2019,S134683,Mira,Cat,Siamese,Mix,98109
October 27 2019,578302,Daisy,Cat,Siamese,Mix,98112
October 27 2019,817001,Liam,Cat,Domestic Shorthair,,98105
October 28 2019,S103775,Diana,Cat,Domestic Shorthair,Mix,98106
October 28 2019,8012804,Grand Theft Auto: Vice Kitty,Cat,Domestic Medium Hair,Mix,98122
October 28 2019,716284,Danley,Cat,Domestic Shorthair,,98136
October 28 2019,S106038,Zella,Cat,Domestic Shorthair,Mix,98125
October 28 2019,S106037,Sylvester,Cat,Domestic Shorthair,Mix,98125
October 28 2019,823673,Kat,Cat,Domestic Shorthair,,98119
October 28 2019,8012813,"Maximus ""Max""",Cat,Domestic Shorthair,Mix,98112
October 28 2019,S136034,Percy,Cat,Domestic Shorthair,Mix,98199
October 28 2019,S135973,Linda,Goat,Miniature,,98108
October 28 2019,S135974,Max,Goat,Miniature,,98108
October 28 2019,832868,Jade,Cat,American Shorthair,,98103
October 28 2019,832864,Cassandra,Cat,American Shorthair,,98103
October 28 2019,8012822,Marco,Cat,Domestic Shorthair,,98103
October 28 2019,S105555,Henry,Cat,Domestic Shorthair,Mix,98115
October 29 2019,8012824,Devastator,Cat,Siamese,,98117
October 29 2019,8012834,Daisy Kittypants,Cat,Domestic Shorthair,Mix,98108
October 29 2019,S128821,Girl Kitty,Cat,Domestic Shorthair,,98125
October 29 2019,S128820,Boy Kitty,Cat,Domestic Shorthair,Devon Rex,98125
October 29 2019,8012836,Sissy,Cat,Domestic Medium Hair,Mix,98133
October 29 2019,884925,PeeWee,Cat,Domestic Shorthair,,98133
October 29 2019,833094,Lucian,Cat,Domestic Longhair,,98102
October 29 2019,833095,Esme,Cat,Domestic Medium Hair,,98102
October 29 2019,S133980,Bug,Cat,Domestic Shorthair,Mix,98117
October 30 2019,825392,Omar,Cat,Domestic Shorthair,,98126
October 30 2019,S151774,Kanga,Cat,Domestic Shorthair,Mix,98118
October 30 2019,832674,#2,Cat,Domestic Shorthair,Mix,98121
October 30 2019,832673,#1,Cat,Domestic Shorthair,Mix,98121
October 30 2019,S151775,Salem,Cat,Domestic Shorthair,Mix,98102
October 30 2019,S121074,Tommy,Cat,Domestic Medium Hair,Mix,98117
October 30 2019,S121075,Luna,Cat,Domestic Longhair,Mix,98117
October 30 2019,S148731,Casper,Cat,Domestic Shorthair,Mix,98118
October 30 2019,891391,Kiaya,Cat,Domestic Shorthair,,98177
October 30 2019,S150896,Midnight,Cat,Domestic Shorthair,Mix,98119
October 30 2019,S150899,Poet,Cat,Domestic Shorthair,Mix,98107
October 30 2019,S151778,Hermione,Cat,Domestic Shorthair,Mix,98133
October 30 2019,S151777,Charles,Cat,Domestic Shorthair,Mix,98133
October 30 2019,S150900,Emily,Cat,Russian Blue,Mix,98119
October 30 2019,S135508,Pepper,Cat,Domestic Shorthair,Mix,98119
October 30 2019,S134396,Pixel,Cat,Domestic Shorthair,Mix,98101
October 30 2019,S134397,Floof,Cat,Domestic Longhair,Mix,98101
October 30 2019,S134386,Sgt. Hatred,Cat,Domestic Shorthair,Mix,98106
October 31 2019,S153400,Gertie,Cat,Domestic Shorthair,Mix,98103
October 31 2019,825118,Tilda,Cat,LaPerm,,98117
October 31 2019,S137038,Bailey Stevens,Cat,Domestic Medium Hair,,98199
October 31 2019,832832,Etaw,Cat,Domestic Longhair,,98105
October 31 2019,S148733,Callie,Cat,Domestic Shorthair,Mix,98107
October 31 2019,S150903,Ebony,Cat,Domestic Shorthair,Mix,98102
October 31 2019,S150904,Leo,Cat,Domestic Shorthair,Mix,98103
October 31 2019,925909,Tika,Cat,Domestic Shorthair,,98146
October 31 2019,820954,Kutching,Cat,Domestic Shorthair,Mix,98146
October 31 2019,8012876,Phoebe,Cat,Mix,Mix,98146
October 31 2019,S150906,Chloe,Cat,Domestic Medium Hair,Mix,98109
October 31 2019,S134611,Taz,Cat,Domestic Shorthair,Mix,98117
November 01 2019,S134247,Theresa,Cat,Domestic Shorthair,Mix,98126
November 01 2019,8012890,Gojira,Cat,Savannah,Mix,98119
November 01 2019,204586,Tabitha,Cat,Domestic Medium Hair,,98103
November 01 2019,823559,,Cat,Domestic Shorthair,,98122
November 01 2019,S103954,Milly,Cat,Domestic Shorthair,Mix,
November 01 2019,823696,Tazmin,Cat,Domestic Shorthair,,98102
November 01 2019,S150908,Zerka,Cat,Domestic Shorthair,Mix,98102
November 01 2019,576634,Zia,Cat,Domestic Medium Hair,Mix,98115
November 01 2019,832211,Frodo,Cat,Domestic Shorthair,,98112
November 01 2019,S104883,Lucy,Cat,Domestic Shorthair,Mix,98107
November 01 2019,832698,Molly,Cat,Domestic Medium Hair,,98107
November 01 2019,S134661,Socks,Cat,Domestic Shorthair,Mix,
November 01 2019,825429,Louie,Cat,Domestic Shorthair,,98133
November 01 2019,S134383,Alicia,Cat,Domestic Shorthair,Mix,98133
November 01 2019,825112,Lily,Cat,Domestic Medium Hair,,98101
November 02 2019,268558,Maurice,Cat,Domestic Shorthair,,98107
November 02 2019,S150921,Boo,Cat,Domestic Shorthair,Mix,98117
November 02 2019,S150920,Billy,Cat,Domestic Shorthair,Mix,98117
November 02 2019,S108043,Max,Cat,Domestic Shorthair,,98107
November 02 2019,S150922,Sophie,Cat,Domestic Shorthair,Mix,98117
November 02 2019,S151780,Lizzo,Cat,Domestic Medium Hair,Mix,98103
November 02 2019,S151781,Angela,Cat,Domestic Shorthair,Mix,98117
November 02 2019,S112623,Viktor,Cat,Domestic Shorthair,Mix,98119
November 02 2019,S112622,Olive,Cat,Domestic Shorthair,Mix,98119
November 02 2019,S151783,Lily,Cat,Domestic Shorthair,Mix,98117
November 02 2019,8012932,Amiko,Cat,Domestic Shorthair,Mix,98115
November 03 2019,S153392,Runt,Cat,Domestic Shorthair,Mix,98106
November 03 2019,S153395,Mini Winny,Cat,Domestic Shorthair,Mix,98177
November 03 2019,8012941,Gomez,Cat,Domestic Shorthair,Mix,98103
November 03 2019,823331,Joey,Cat,Domestic Shorthair,,98107
November 03 2019,832078,Mia,Cat,Domestic Shorthair,,98136
November 03 2019,S134387,Delilah,Cat,Domestic Shorthair,Mix,98109
November 03 2019,825466,Henry,Cat,Russian Blue,Mix,98134
November 03 2019,S151786,Juniper,Cat,Domestic Shorthair,Mix,98119
November 03 2019,S151789,Smokey,Cat,Domestic Shorthair,Mix,98119
November 03 2019,S151790,Sunshine,Cat,Domestic Medium Hair,Mix,98109
November 03 2019,832638,Verdandy,Cat,Domestic Shorthair,,98115
November 03 2019,S151792,Layla,Cat,Domestic Shorthair,Mix,98107
November 03 2019,S151794,Sencha,Cat,Domestic Shorthair,Mix,98101
November 03 2019,S151793,Masala Chai,Cat,Domestic Medium Hair,Mix,98101
November 03 2019,S137345,Emmanual Meowcron,Cat,Domestic Medium Hair,,98107
November 03 2019,8012965,Koshka,Cat,American Shorthair,,98109
November 03 2019,825456,Oliver,Cat,Maine Coon,,98136
November 03 2019,825174,Gladys,Cat,Domestic Medium Hair,,98115
November 04 2019,8012974,Skippy Jon Jones,Cat,Siamese,Mix,98122
November 04 2019,8012975,Callie,Cat,Domestic Shorthair,Mix,98126
November 04 2019,S100529,Bonnie,Cat,Domestic Shorthair,Mix,98103
November 04 2019,S100528,Benji,Cat,Domestic Shorthair,Mix,98103
November 04 2019,8012985,Bella,Cat,Domestic Longhair,Mix,98105
November 04 2019,825326,Fiona,Cat,Domestic Shorthair,,98103
November 04 2019,S137065,Bootsie,Cat,Domestic Shorthair,,98115
November 05 2019,S131872,Gabo,Cat,Domestic Shorthair,Mix,98109
November 05 2019,S131873,Chico,Cat,Domestic Shorthair,Mix,98109
November 05 2019,833015,Avery,Cat,Domestic Shorthair,Mix,98125
November 05 2019,833014,Julien,Cat,Domestic Shorthair,Mix,98125
November 05 2019,8013019,Oolong,Cat,Domestic Shorthair,Mix,98105
November 05 2019,8013020,Chamomile,Cat,Domestic Shorthair,Mix,98105
November 06 2019,833211,Sam,Cat,Domestic Shorthair,,98144
November 06 2019,S104951,,Cat,Domestic Shorthair,Mix,98125
November 06 2019,S151796,Dory,Cat,Domestic Shorthair,,98106
November 06 2019,817691,Rambeaux,Cat,Domestic Medium Hair,,98119
November 06 2019,833839,Shadow,Cat,Domestic Medium Hair,,98133
November 06 2019,825374,Abby,Cat,Domestic Shorthair,,98105
November 06 2019,S151799,Oreo,Cat,Domestic Shorthair,Mix,98119
November 06 2019,833221,Ruby,Cat,Domestic Medium Hair,,98119
November 06 2019,833222,Noodle,Cat,Domestic Shorthair,,98119
November 07 2019,S153382,Fig,Cat,Domestic Shorthair,Mix,98126
November 07 2019,S153386,Getty,Cat,Domestic Shorthair,Mix,98106
November 07 2019,S148746,Mortimer,Cat,Domestic Shorthair,Mix,98107
November 07 2019,8013049,Cat 2,Cat,Domestic Shorthair,Mix,98117
November 07 2019,8013050,Cat 1,Cat,Domestic Shorthair,Mix,98117
November 07 2019,S150929,Oreo,Cat,Domestic Shorthair,,98121
November 07 2019,S138339,Queenie,Cat,Domestic Longhair,,98122
November 08 2019,S150930,Hunter,Cat,Domestic Shorthair,Mix,98116
November 08 2019,S126274,Eroteme,Cat,Domestic Shorthair,Mix,98115
November 09 2019,896407,Wanda,Cat,LaPerm,,98115
November 09 2019,896406,Slinky,Cat,Siamese,Mix,98115
November 09 2019,S150936,Thackery Binx Trang,Cat,Domestic Shorthair,Mix,98106
November 09 2019,S153918,Carson,Cat,Domestic Shorthair,Mix,98109
November 09 2019,S106990,Moose 2,Cat,Domestic Shorthair,,98117
November 09 2019,S150937,Chaos,Cat,Domestic Shorthair,Mix,98125
November 09 2019,S150938,Noah,Cat,Domestic Shorthair,Mix,98126
November 09 2019,S107379,Betty,Cat,Domestic Medium Hair,,98117
November 09 2019,8013104,Gobi,Cat,Domestic Shorthair,Mix,98115
November 09 2019,8013105,Oryx,Cat,Domestic Shorthair,Mix,98115
November 09 2019,S150940,Bucky,Cat,Domestic Shorthair,Mix,98107
November 09 2019,S150942,Betty,Cat,Domestic Shorthair,Mix,98119
November 10 2019,S153380,Phineas,Cat,Domestic Shorthair,Mix,98103
November 10 2019,S153381,Mr. Rosemary,Cat,Domestic Shorthair,Mix,98103
November 10 2019,S134365,Venus,Cat,Domestic Shorthair,Mix,98103
November 10 2019,S107084,Katie,Cat,Maine Coon,,98115
November 10 2019,S106374,Ash,Cat,Mix,Siamese,98103
November 10 2019,S138226,Ginger Snap,Cat,American Shorthair,,98117
November 10 2019,S138225,Chocolate Chip,Cat,American Shorthair,,98117
November 10 2019,S151802,Gigi,Cat,Domestic Shorthair,Mix,98115
November 10 2019,S106836,Maddie,Cat,Domestic Shorthair,,98103
November 10 2019,S136537,Nymeria,Cat,Domestic Shorthair,Mix,98103
November 10 2019,S136536,Ghost,Cat,Domestic Shorthair,Mix,98103
November 10 2019,S107747,Duncan,Cat,Domestic Shorthair,,98115
November 10 2019,S107558,Willow,Cat,Domestic Medium Hair,,98115
November 10 2019,S104569,Eve,Cat,Domestic Shorthair,,98103
November 10 2019,S104570,Summer,Cat,Domestic Shorthair,,98103
November 10 2019,S151805,Malibu,Cat,Domestic Shorthair,,98116
November 10 2019,8013138,Motor,Cat,Domestic Medium Hair,Mix,98116
November 10 2019,S108117,Felipe,Cat,Domestic Medium Hair,,98117
November 11 2019,S107495,Nora,Cat,Domestic Shorthair,Mix,98103
November 11 2019,S106343,Tess,Cat,Manx,Mix,98117
November 11 2019,897595,Nene,Cat,Domestic Shorthair,,98117
November 11 2019,S137076,Charlie,Cat,American Shorthair,,98115
November 11 2019,360141,Inca,Cat,Domestic Shorthair,,98115
November 11 2019,8013155,Kong,Cat,Domestic Shorthair,,98115
November 11 2019,897578,Floyd,Cat,Siamese,,98117
November 11 2019,823624,Penny,Cat,Domestic Shorthair,,98115
November 11 2019,8013158,Hershel,Cat,Persian,Mix,98115
November 11 2019,905403,Alpina,Cat,Siamese,,98107
November 11 2019,898743,Sparky,Cat,American Shorthair,,98103
November 11 2019,898742,Daisy,Cat,Domestic Shorthair,,98103
November 12 2019,S101224,Mello,Cat,Domestic Shorthair,Mix,98115
November 12 2019,S153397,Iggy,Cat,Domestic Shorthair,Mix,98199
November 12 2019,S153398,Mick,Cat,Domestic Shorthair,Mix,98199
November 12 2019,896734,Bruce,Cat,Domestic Shorthair,,98103
November 12 2019,S153377,Reese,Cat,Domestic Shorthair,Mix,98105
November 12 2019,S151807,Baby,Cat,Domestic Shorthair,Mix,98166
November 12 2019,8013182,Phyllis,Cat,Domestic Shorthair,,98125
November 12 2019,8013183,Natalie,Cat,Domestic Shorthair,,98125
November 12 2019,S104207,Misty,Cat,Domestic Medium Hair,Mix,98115
November 12 2019,S106109,Smidgeon,Cat,Ragdoll,,98105
November 12 2019,905030,Artemis,Cat,Domestic Medium Hair,,98103
November 12 2019,S135436,Cleotichat,Cat,Mix,,98105
November 12 2019,8013203,Max,Cat,Domestic Shorthair,,98125
November 12 2019,8013204,Shadow,Cat,Domestic Longhair,,98125
November 12 2019,S139153,Shirley,Cat,Domestic Shorthair,,98106
November 12 2019,S139152,Laverne,Cat,Domestic Medium Hair,,98106
November 12 2019,S106558,Belle,Cat,Domestic Shorthair,,98133
November 12 2019,896600,Athena,Cat,Domestic Shorthair,,98122
November 12 2019,8013212,GarfieldTheRunt,Cat,Domestic Shorthair,Mix,98106
November 13 2019,893665,Sophie,Cat,Domestic Medium Hair,,98116
November 13 2019,893666,Soccer,Cat,Domestic Medium Hair,,98116
November 13 2019,897583,Maximus,Cat,Domestic Shorthair,,98115
November 13 2019,S134368,Sol,Cat,Domestic Shorthair,Mix,98122
November 13 2019,S138221,Ishtar,Cat,Domestic Medium Hair,Mix,98105
November 13 2019,S104873,Bates,Cat,Domestic Shorthair,Mix,98116
November 13 2019,S104874,Mrs. Patmore,Cat,Domestic Shorthair,Mix,98116
November 13 2019,953543,Colin,Cat,Domestic Medium Hair,,98103
November 13 2019,S106001,Hudson,Cat,Domestic Shorthair,,98146
November 13 2019,897691,Noona,Cat,Domestic Shorthair,,98115
November 13 2019,S137998,Gloria,Cat,Ragdoll,,98199
November 13 2019,S105633,Sybil,Cat,Domestic Shorthair,,98109
November 13 2019,578944,Buddy,Cat,Domestic Shorthair,,98105
November 13 2019,8013230,Bella,Cat,Domestic Longhair,,98102
November 13 2019,S138741,Luna,Cat,Domestic Medium Hair,,98102
November 13 2019,S138740,Edward,Cat,Domestic Medium Hair,,98102
November 13 2019,S151814,Raven,Cat,Domestic Medium Hair,,98109
November 13 2019,S107587,Baby Tiger,Cat,American Shorthair,,98107
November 13 2019,S107586,Jack,Cat,American Shorthair,,98107
November 13 2019,8013232,Patches,Cat,Domestic Shorthair,Mix,98125
November 13 2019,896529,Chloe,Cat,LaPerm,,98146
November 13 2019,833084,Ninotchka,Cat,Domestic Medium Hair,,98117
November 13 2019,S140167,Mitchell,Cat,Bombay,Ragdoll,98112
November 13 2019,S106705,Matt,Cat,Domestic Shorthair,,98121
November 13 2019,8013238,Rascal,Cat,Ocicat,,98105
November 13 2019,S107418,Bentley,Cat,Russian Blue,,98101
November 13 2019,S107160,BlackEyedPea (BEP),Cat,Domestic Shorthair,,98103
November 14 2019,S107615,Abigail,Cat,Mix,,
November 14 2019,S106132,Cotter,Cat,Domestic Shorthair,,98108
November 14 2019,S106133,Pickles,Cat,Domestic Shorthair,,98108
November 14 2019,897822,Genghis,Cat,Maine Coon,,98125
November 14 2019,897827,Yekeela,Cat,Siberian,,98125
November 14 2019,905097,Delilah,Cat,Domestic Shorthair,,98133
November 14 2019,892073,Spooky,Cat,Domestic Medium Hair,,98115
November 14 2019,S105901,Jordi,Cat,Domestic Shorthair,Mix,98199
November 14 2019,823536,Kamuela,Cat,Domestic Shorthair,,98103
November 14 2019,S105971,Missy,Cat,Domestic Shorthair,Mix,98133
November 14 2019,832634,Ruggles,Cat,Domestic Shorthair,,98109
November 14 2019,S106756,AJ Gray,Cat,Russian Blue,,98126
November 14 2019,S106755,Stella,Cat,Domestic Shorthair,,98126
November 14 2019,S105590,Blanche,Cat,Domestic Shorthair,Mix,98116
November 14 2019,S105589,Olaf,Cat,Domestic Shorthair,Mix,98116
November 14 2019,S104204,Katharina,Cat,Domestic Longhair,Mix,98103
November 14 2019,S134363,Sofie,Cat,Domestic Shorthair,Mix,98115
November 14 2019,S138075,Chessie,Cat,Domestic Medium Hair,Mix,98101
November 14 2019,S106648,Baxter,Cat,Domestic Longhair,,98116
November 14 2019,S135188,Bonnie,Cat,Domestic Shorthair,Mix,98115
November 14 2019,S135187,Clyde,Cat,Domestic Shorthair,Mix,98115
November 14 2019,8013255,Skip,Cat,Domestic Shorthair,Mix,98107
November 14 2019,8013256,Flip,Cat,Domestic Shorthair,Mix,98107
November 14 2019,S106712,Dior,Cat,Domestic Longhair,,98087
November 14 2019,S107245,Merry,Cat,Domestic Shorthair,,98122
November 14 2019,S135403,Bug,Cat,Domestic Shorthair,,98122
November 15 2019,S153374,Banshee,Cat,Domestic Medium Hair,Mix,98117
November 15 2019,S153375,Lucas,Cat,Domestic Shorthair,Mix,98117
November 15 2019,S107574,Otis,Cat,Domestic Shorthair,,98118
November 15 2019,S107575,Jonesy,Cat,Domestic Shorthair,,98118
November 15 2019,8013266,Ringo,Cat,American Shorthair,Mix,98136
November 15 2019,905122,Fenway,Cat,Domestic Shorthair,,98106
November 15 2019,S138439,Thor,Cat,American Shorthair,,98121
November 15 2019,S107024,Davy Cat,Cat,Mix,,98133
November 15 2019,S107025,Kiki,Cat,Mix,,98133
November 15 2019,S138049,Tamarack,Cat,Domestic Longhair,Mix,98121
November 15 2019,S138050,Loblolly,Cat,Domestic Medium Hair,Mix,98121
November 15 2019,S106945,Didier,Cat,American Shorthair,,98136
November 15 2019,S107494,Weston,Cat,Domestic Shorthair,,98103
November 15 2019,S107493,Chappy,Cat,Domestic Shorthair,,98103
November 15 2019,S107090,Loo Loo,Cat,Domestic Shorthair,Mix,98109
November 15 2019,S107760,Liono,Cat,Domestic Longhair,Maine Coon,98112
November 15 2019,S106095,Jessica Kadlu,Cat,Domestic Shorthair,,98116
November 15 2019,895820,Muddy,Cat,Domestic Shorthair,,98144
November 15 2019,8013275,Baby,Cat,Maine Coon,Mix,98117
November 15 2019,S106385,Frankie,Cat,Mix,,98125
November 15 2019,S150945,Bear,Cat,Domestic Medium Hair,,98102
November 15 2019,8013276,Ike,Cat,Ocicat,,98136
November 15 2019,574260,Apple Sauce,Cat,Domestic Shorthair,,98105
November 15 2019,8013282,Russell,Cat,Domestic Shorthair,Mix,98122
November 15 2019,S137996,Hana,Cat,American Shorthair,,98102
November 15 2019,899054,Rocky,Cat,Domestic Medium Hair,,98125
November 15 2019,899055,Finn,Cat,Domestic Medium Hair,,98125
November 15 2019,S148753,Olive,Cat,Domestic Shorthair,,98199
November 15 2019,S107460,Cheese,Cat,Domestic Medium Hair,,98122
November 15 2019,S106026,Pippin,Cat,Domestic Shorthair,,98125
November 15 2019,896046,Chaco,Cat,Domestic Shorthair,,98115
November 15 2019,S107253,Bossa,Cat,Domestic Shorthair,,98103
November 15 2019,S107254,Bambi,Cat,Domestic Shorthair,,98103
November 15 2019,905421,Minerva,Cat,Domestic Shorthair,British Shorthair,98112
November 16 2019,897246,Charlie,Cat,Domestic Medium Hair,,98126
November 16 2019,8013298,Persia,Cat,Mix,,98115
November 16 2019,897146,Ollie,Cat,Domestic Longhair,,98112
November 16 2019,S105812,Niki Aphrodite,Cat,Siberian,,98121
November 16 2019,S106079,Ripley,Cat,Domestic Shorthair,,98106
November 16 2019,S106078,Oliver,Cat,Domestic Longhair,,98106
November 16 2019,896521,Higgins,Cat,Domestic Shorthair,,98106
November 16 2019,S105938,Katniss,Cat,Snowshoe,Mix,98116
November 16 2019,897624,Jack,Cat,Domestic Shorthair,,98199
November 16 2019,S105910,Zia,Cat,Domestic Medium Hair,,98117
November 16 2019,S101028,Miso,Cat,Domestic Shorthair,Mix,98116
November 16 2019,S104753,Lily,Cat,Domestic Longhair,,98119
November 16 2019,891894,Patrick,Cat,Domestic Shorthair,,98103
November 16 2019,891895,Peter,Cat,Domestic Shorthair,,98103
November 16 2019,896846,Roscoe,Cat,Domestic Shorthair,Mix,98115
November 16 2019,S138245,Boo,Cat,Domestic Shorthair,Mix,98109
November 16 2019,896184,Thistle,Cat,Norwegian Forest,,98105
November 16 2019,896709,Kate,Cat,LaPerm,,98115
November 16 2019,S107533,Orange Crush,Cat,Mix,,98102
November 16 2019,S150954,Lennox,Cat,Domestic Shorthair,,98101
November 16 2019,896557,"""Mama"" Maya",Cat,Domestic Shorthair,,98126
November 16 2019,S150955,Wednesday,Cat,Domestic Shorthair,Mix,98199
November 16 2019,895944,Louie,Cat,Abyssinian,,98103
November 16 2019,S150957,Yoga,Cat,Domestic Shorthair,Mix,98122
November 16 2019,S105949,Winston,Cat,Domestic Medium Hair,Mix,98117
November 16 2019,S105948,Clementine,Cat,Domestic Longhair,Mix,98117
November 16 2019,8013313,Sophie,Cat,Domestic Shorthair,,98115
November 17 2019,898820,Dasher,Cat,Domestic Shorthair,,98136
November 17 2019,S138047,Jake,Cat,Domestic Medium Hair,,98118
November 17 2019,S138048,Butters,Cat,Domestic Shorthair,Siamese,98118
November 17 2019,S136093,Sparkles,Cat,Domestic Shorthair,Mix,98122
November 17 2019,S128599,Phoenix,Cat,American Shorthair,Mix,98118
November 17 2019,S152109,Fawkes,Cat,Domestic Shorthair,Mix,98118
November 17 2019,S138438,Pete,Cat,Domestic Longhair,Mix,98109
November 17 2019,897721,Merlin,Cat,Domestic Longhair,,98103
November 17 2019,S106907,Squeak,Cat,Domestic Shorthair,,98108
November 17 2019,8013324,Avocado,Cat,Sphynx,,98101
November 17 2019,897814,Moe,Cat,Domestic Medium Hair,,98102
November 17 2019,S134695,Mila,Cat,Domestic Shorthair,Mix,98125
November 17 2019,S134694,Janeway,Cat,Domestic Shorthair,Mix,98125
November 17 2019,8013328,Freya,Cat,American Shorthair,Mix,98107
November 17 2019,S124711,Catty,Cat,Domestic Medium Hair,Mix,98125
November 17 2019,S107319,Jasper,Cat,Domestic Shorthair,,98118
November 17 2019,8013333,Ally,Cat,American Shorthair,Mix,98117
November 18 2019,8013339,Moose,Cat,Mix,Mix,98102
November 18 2019,8013340,Klonopin,Cat,Mix,Mix,98102
November 18 2019,8013344,Purrla,Cat,Domestic Shorthair,,98103
November 18 2019,S138392,Abbey,Cat,Domestic Shorthair,,98101
November 18 2019,584563,Annar,Cat,Domestic Longhair,,98112
November 18 2019,S136203,George,Cat,Domestic Shorthair,,98103
November 18 2019,896719,Gracie,Cat,Domestic Medium Hair,,98103
November 18 2019,S106850,Fips,Cat,Domestic Shorthair,Tiffany,98108
November 18 2019,S106235,Vespoli,Cat,Domestic Shorthair,,98126
November 18 2019,897671,Luma,Cat,Domestic Medium Hair,,98115
November 18 2019,S108049,Sophie,Cat,Russian Blue,,98119
November 18 2019,833132,Juneau,Cat,Domestic Medium Hair,,98117
November 18 2019,833133,Zeke,Cat,Domestic Shorthair,,98117
November 18 2019,900366,Hank,Cat,Domestic Medium Hair,,98144
November 18 2019,S105911,Anouk,Cat,Domestic Shorthair,Mix,98106
November 18 2019,8013369,Cleo,Cat,Domestic Shorthair,Mix,98103
November 18 2019,8013370,Zeno,Cat,Domestic Medium Hair,Mix,98103
November 18 2019,S139873,Macavity,Cat,Domestic Longhair,,98112
November 18 2019,8013374,Simba,Cat,Maine Coon,Mix,98105
November 18 2019,S138148,Chaucer,Cat,Domestic Shorthair,,98144
November 18 2019,S138149,Roux,Cat,Domestic Shorthair,,98144
November 19 2019,S148758,Lenore,Cat,Domestic Shorthair,,98119
November 19 2019,S107278,Delilah,Cat,Manx,,98117
November 19 2019,S107277,Mojo,Cat,Manx,,98117
November 19 2019,897240,Rufus,Cat,Domestic Shorthair,,98103
November 19 2019,892646,Escher,Cat,Domestic Shorthair,,98103
November 19 2019,892647,Gita,Cat,Domestic Shorthair,,98103
November 19 2019,896829,Tonnie,Cat,Domestic Shorthair,,98117
November 19 2019,896827,Charlie,Cat,Domestic Shorthair,,98117
November 19 2019,S134690,Friday the 13th,Cat,Domestic Shorthair,Mix,98136
November 20 2019,S138459,Archie,Cat,Pixie-Bob,,98118
November 20 2019,896879,Mia,Cat,Domestic Medium Hair,,98105
November 20 2019,S137987,Spike,Cat,Domestic Medium Hair,,98117
November 20 2019,S137986,Scout,Cat,Domestic Shorthair,,98117
